NDC11,drug_class,drug_class_label,ingredient,rxnorm_ingredient_rxcui,rxnorm_product_rxcui,rxnorm_product_tty,rxnorm_product_name,rxnorm_status,rxnorm_direct_rxcui,rxnorm_start_yyyymm,rxnorm_end_yyyymm,source,source_url,notes
00169430393,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200654,SBD,semaglutide 3 MG Oral Tablet [Rybelsus],direct,2200654,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430399,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200654,SBD,semaglutide 3 MG Oral Tablet [Rybelsus],direct,2200654,202106,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430701,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200658,SBD,semaglutide 7 MG Oral Tablet [Rybelsus],direct,2200658,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430713,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200658,SBD,semaglutide 7 MG Oral Tablet [Rybelsus],direct,2200658,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169430730,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200658,SBD,semaglutide 7 MG Oral Tablet [Rybelsus],direct,2200658,202106,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169431401,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200650,SBD,semaglutide 14 MG Oral Tablet [Rybelsus],direct,2200650,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169431413,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200650,SBD,semaglutide 14 MG Oral Tablet [Rybelsus],direct,2200650,201910,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169431430,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2200650,SBD,semaglutide 14 MG Oral Tablet [Rybelsus],direct,2200650,202106,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169440431,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2730167,SBD,semaglutide 4 MG Oral Tablet [Wegovy],direct,2730167,202602,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
00169440931,glp1_ndc,GLP-1 receptor agonist,semaglutide,1991302,2730169,SBD,semaglutide 9 MG Oral Tablet [Wegovy],direct,2730169,202602,202605,NIH/NLM RxNorm API getAllHistoricalNDCs,https://lhncbc.nlm.nih.gov/RxNav/APIs/api-RxNorm.getAllHistoricalNDCs.html,Primary GLP-1 RA class; excludes tirzepatide unless using glp1_like_ndc.
